{\rtf1\ansi\ansicpg1252\cocoartf2820
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fmodern\fcharset0 Courier;}
{\colortbl;\red255\green255\blue255;\red0\green0\blue0;}
{\*\expandedcolortbl;;\cssrgb\c0\c0\c0;}
\paperw11900\paperh16840\margl1440\margr1440\vieww15240\viewh8220\viewkind0
\deftab720
\pard\pardeftab720\partightenfactor0

\f0\fs26 \cf0 \expnd0\expndtw0\kerning0
\outl0\strokewidth0 \strokec2 Date,Order,PaymentMethod,Account,PersonSeated,IsReservation\
2023-11-01, Burger and Fries, Credit Card, yes, 2, yes\
2023-11-01, Pasta and Salad, Cash, no, 1, no\
2023-11-02, Steak and Potatoes, Debit Card, yes, 4, yes\
2023-11-02, Sushi Platter, Credit Card, no, 3, yes\
2023-11-03, Vegan Wrap, Cash, no, 1, no\
2023-11-03, Chicken Tacos, Debit Card, yes, 2, yes\
2023-11-04, Pizza, Credit Card, no, 5, no\
2023-11-04, Lobster Roll, Cash, yes, 2, yes\
2023-11-05, BBQ Ribs, Debit Card, yes, 6, yes\
2023-11-05, Caesar Salad, Cash, no, 1, no\
2023-11-06, Grilled Salmon, Credit Card, yes, 3, yes\
2023-11-06, Burger, Cash, no, 2, no}
